ITS2 type profile UID		678945	678619	678642	678947	678946	678618	683280	678786	678567	678949	678579	678907	681754	681806	680864	681837	681750	680871	680780	681840	682847	682471	682848	682624	682849	682850	682770	682472	682742	682475
Clade		A	A	A	A	A	A	A	A	A	A	A	A	C	C	C	C	C	C	C	C	D	D	D	D	D	D	D	D	D	D
Majority ITS2 sequence		A1	A1ee	A1	A1	A1	A1ee/A1	A1	A1	A1	A16	A1	A1	C3ae	C3k/C3	C3ae	C3ae	C3ae	C3ae	C3ae	C3ae	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1
Associated species		None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
ITS2 profile abundance local		17	14	12	9	8	5	4	3	3	1	1	1	60	60	32	20	18	5	2	2	55	19	17	11	9	5	2	2	2	1
ITS2 profile abundance DB		17	28	30	12	14	10	36	142	67	11	12	24	103	168	101	20	18	52	52	3	55	273	28	18	10	5	6	36	8	14
ITS2 type profile		A1-A1oc-A1ob	A1ee-A1cl-A1-A1en	A1-A1eq-A1ep	A1-A1ee-A1oc	A1-A1gb-A1ee-A1eq	A1ee/A1/A1cl	A1/A1ee-A1eq	A1/A1gb-A1ee	A1-A1z	A16-A16d-A3	A1-A1z-A1do	A1-A13f	C3ae-C3bj-C3p-C3h-C3j-C3f-C3cv-C3ba	C3k/C3	C3ae/C3k-C3bj-C3f-C3-C3p	C3ae-C3bj-C3p-C3k-C3-C3ba	C3ae-C3bj-C3p-C3k-C3cv-C3h-C3j	C3ae-C3bj-C3f-C3-C3k	C3ae/C3f-C3bj-C3-C3p-C3h-C3j	C3ae-C3bj-C3zx-C3zw	D1-D1u-D4-D1mu	D1-D4-D1u-D2-D2.2	D1-D1u-D17i-D17r-D1r-D17s	D1-D17i-D4-D1r-D17s-D17r	D1-D1u-D17i-D17r	D1-D17i-D1r-D17r-D17s	D1-D1u-D1mu-D17i-D17r	D1-D4-D2-D1u-D17i-D2.2-D1r	D1-D4-D17aq-D17ap-D17ar-D17ao	D1-D4-D1u-D2
187415	241_T27	0	0	0	0	0	0	0	0	0	0	0	0	0.8516290582546626	0.06165093253511398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187424	256_T27	0	0	0	0	0	0	0	0	0	0	0	0	0.8470230601529155	0.041360886787238614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187401	223_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.8308326414422963	0.06143992408966908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187404	224_T27	0	0	0	0	0	0	0	0	0	0	0	0	0.830716345733679	0.05636962158067993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187421	243_T27	0	0	0	0	0	0	0	0	0	0	0	0	0.8284212847273262	0.05166838159635455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187409	226_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.8147622007162095	0.05729675338127794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187406	225_T0_	0	0	0	0	0	0	0	0	0	0	0	0	0.8125900714439027	0.057124459571336585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187403	224_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.8100395392814166	0.057074093175176206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187418	242_T27	0	0	0	0	0	0	0	0	0	0	0	0	0.8096758133950275	0.054148241426772485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187410	226_T27	0	0	0	0	0	0	0	0	0	0	0	0	0.8090208299163523	0.05550270624897491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187535	834_T27	0	0	0	0	0	0	0	0	0	0	0	0	0.8050116731517509	0.05326070038910506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187414	241_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.8046574723038661	0.061561319078841124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187407	225_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.8031796036484853	0.06300597091468553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187420	243_T12	0.010131808797840241	0	0	0	0	0	0	0	0	0	0	0	0.8001588057805304	0.05967921232332857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187423	256_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.8000302206104564	0.06010879419764279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187417	242_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.7987012987012988	0.059461611185749115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187441	335_T27	0	0	0	0	0	0	0	0	0	0	0	0	0.777605173889611	0.0658149193164886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187431	316_T0	0	0	0	0	0	0	0	0	0	0	0	0	0.7685430788879065	0.07355011952713102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187448	342_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.7635644589000592	0.07528829095209935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187432	316_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.7597496241293609	0.07499002792181891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187426	312_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.7594630364908299	0.07392701833995084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187451	343_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.7589042300589218	0.07435581743030516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187466	436_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.7579561178098438	0.06710812413520459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187475	444_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.7556921675774135	0.07549440541243821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187438	334_T27	0	0	0	0	0	0	0	0	0	0	0	0	0.7520615041230082	0.07325314650629301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187437	334_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.7495731360273193	0.07238273795574007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187429	313_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.7486690681883388	0.07351206605247218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187473	443_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.7459508537621181	0.06689511759365023	0	0	0	0	0	0	0	0	0.017045953782620155	0	0	0	0	0	0	0
