sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A1	A1ee	A16	A16e	A1cl	A3	A16d	A1gb	A1oc	1890_A	73342_A	A1oa	A1eq	A1z	A1ob	A13f	7561_A	A1en	73335_A	35647_A	73341_A	488203_A	A1ep	35650_A	A1hw	73334_A	3171387_A	60375_A	76466_A	A1lr	A1gc	35927_A	1770033_A	A1do	3171388_A	3692346_A	7168_A	60374_A	72463_A	76398_A	1477_A	A1mg	A1du	A1bw	A1jd	905679_A	443458_A	59779_A	A1ma	3171389_A	A1bf	3847_A	54515_A	914813_A	3262_A	76514_A	A1bx	A1bv	A1jt	1770254_A	1770045_A	70038_A	6823_A	1767146_A	3692352_A	55167_A	73970_A	A1hv	169169_A	2178761_A	3692355_A	3692354_A	3171391_A	3179328_A	A1eb	33849_A	33862_A	35659_A	C3ae	C3bj	C3p	C3k	C3	C3ba	C3cv	C3f	C3h	53_C	C50f	175_C	C3j	62_C	C3ok	3401988_C	794_C	406_C	470_C	33163_C	173_C	C3ph	69_C	33180_C	245_C	33164_C	33171_C	33162_C	172_C	C21cf	33161_C	C21	400_C	3171428_C	C3zx	1767185_C	C3xu	46446_C	462_C	C3zw	171_C	224_C	46470_C	1767460_C	46431_C	1767219_C	915365_C	1768387_C	178_C	922205_C	914778_C	3204272_C	C3us	922155_C	C3pc	C3.10	3692348_C	C3pb	1768394_C	C3ur	32867_C	3202148_C	183_C	41012_C	1768407_C	C3cl	914782_C	3692353_C	2216353_C	C3gj	D1	D1u	D4	D1mu	D1ly	D1ih	D17i	D2	3202006_D	D17r	D17s	3692345_D	D1r	15547_D	D17aq	D2.2	D1jb	D17d	71638_D	3204580_D	D17ap	3692349_D	3692347_D	873412_D	873409_D	73596_D	3692351_D	D17e	21103_D	2896_D	D17ao	D17ar	71640_D	935903_D	D17c	3692356_D	D2c	21101_D	D5m	873424_D	21102_D	914826_D	24647_D	3201997_D	26079_D	71633_D	3173116_D	212507_D	104620_D	10417_D	3692350_D	873449_D	D10
187415	241_T27	241-T27_S228_L001_R1_001.fastq.gz	043c5bfbfe6d6da7200bd67d2c008b7eea8e139326dc26116efec21db3da9565	241-T27_S228_L001_R2_001.fastq.gz	062921e3093c732b35f4f30b2cb210c33118130bad2a419f8547fd9bb39abd05	955	20240307T041644_cdube	1.3644370250978586	1.1033847570803592	0.019312687082661754	1.103125719548699	0.019255123186737277	0.0	0.0	0.00025903753166014277	5.7563895924476166e-05	1.0	0.0005468570112825236	0	0	0.05160603269629289	0	0	0	0	0	0	coral	cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	cytherea	-17.54999310	-149.88336240	20230418	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5695371862767672	0.12183398572415381	0.04671310154271241	0.031746488602348605	0.02990444393276537	0.02075178448077366	0.021413769283905135	0.026076444853787704	0.02596131706193875	0.014160718397421137	0.014736357356665898	0.012059636196177757	0.019341469030623993	0.007857471793690996	0.013844116969836518	0.01142643334100852	0	0.006101772967994474	0	0	0	0.006216900759843426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00031660142758461893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187424	256_T27	256-T27_S220_L001_R1_001.fastq.gz	6f47a3c23bfec85844f275772aaf1e79041ac606f5f73773982cb2085713f492	256-T27_S220_L001_R2_001.fastq.gz	564f8763c28fbae61f723a7c5bc5bdb01b66bddecc3fb92a377b18a2dfb923ce	955	20240307T041644_cdube	1.3055239966837597	1.0678293978567261	0.01928332360978905	1.0678293978567261	0.01928332360978905	0.0	0.0	0.0	0.0	1.0	0.0006755304449289158	0	0	0.0831823625142015	0	0	0	0	0	0	coral	cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	cytherea	-17.49097300	-149.88828060	20230418	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5883256056744557	0.1133355851014831	0.048761015752141736	0.0235514477845672	0.017809439002671415	0.019129793963214296	0.020818620075536587	0.019129793963214296	0.022323210611969173	0.010440015967083244	0.010378604108453343	0.011545429422421469	0.015199435010900604	0.006509657014769552	0.01200601836214573	0.012343783584610189	0.012220959867350386	0.008044953480517088	0.012528019160499893	0	0	0.0060490680750452915	0	0	0	0	0	0	0.004667301255872509	0	0	0	0	0	0	0	0	0	0.004882242761077164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187401	223_T12	223-T12_S215_L001_R1_001.fastq.gz	ea3a1a7e241ef7d1e593b9335672488c714acd87ab1894f74170548a152864c3	223-T12_S215_L001_R2_001.fastq.gz	18d2f00e679d116dcb29c3e138aa5aefa0a4bb27306b1e360b6df000c7088826	955	20240307T041644_cdube	1.3885067014589016	1.1127090499347645	0.021112560787569682	1.1121753054204722	0.020964298422488436	0.0	0.0	0.000533744514292492	0.00014826236508124778	1.0	0.0006227019333412407	0	0	0.07086941050883644	0	0	0	0	0	0	coral	cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	cytherea	-17.48062060	-149.80335620	20210202	1	0.00011860989206499822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5454868936069268	0.11383584390938205	0.04590202822915431	0.029771082908314553	0.031668841181354525	0.022328312181235915	0.022743446803463407	0.028466374095599573	0.03157988376230578	0.01402561973668604	0.01607164037480726	0.012542996085873562	0.02048985885422844	0.0067014589016723995	0.013254655438263551	0.011475507057288578	0	0.006849721266753647	0.013432570276361048	0	0.005841537184201162	0.007413118254062389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187404	224_T27	224-T27_S188_L001_R1_001.fastq.gz	91d4a47df4d3a403a6ad4d4b4f1fd3a60e2fe45f5a0d7082f9eab8124ccafea3	224-T27_S188_L001_R2_001.fastq.gz	13c3e3c33fec48f4e6e4e45cb29fc56f5afb2d6e87d10168b79c11bab3b6ab59	955	20240307T041644_cdube	1.3906837183558132	1.098668686456725	0.019518163544731553	1.0979695283596003	0.019372505607830572	0.0	0.0	0.0006991580971247123	0.00014565793690098173	1.0	0.0006117633349841233	0	0	0.07600431147493227	0	0	0	0	0	0	coral	cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	cytherea	-17.48538420	-149.83559100	20230418	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5535001602237306	0.11093308474378769	0.04917411949777143	0.029160718967576542	0.027208902613103388	0.021557374661345295	0.02281003291869374	0.027645876423806334	0.025752323244093572	0.013604451306551694	0.01491537273866053	0.012293529874442858	0.019343374020450374	0.00702071255862732	0.014245346228916014	0.010225187170448917	0.013662714481312087	0.006525475573163982	0.01267224051038541	0	0	0.007312028432429283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004369738107029452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187421	243_T27	243-T27_S230_L001_R1_001.fastq.gz	920295878f3a8a769f3513a01936a68ae3518248a34c5ba6add3071dc94414c3	243-T27_S230_L001_R2_001.fastq.gz	364c4130cfa06aa51c89f95ad32aeba0c810f8a09ad1fbbaa77508ec9e297d16	955	20240307T041644_cdube	1.3521240629134206	1.0839335587240924	0.020799647214464208	1.0839335587240924	0.020799647214464208	0.0	0.0	0.0	0.0	1.0	0.0008084668528590327	0	0	0.08518300749669264	0	0	0	0	0	0	coral	cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	cytherea	-17.54999310	-149.88336240	20230418	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5595325591650743	0.11322210789357637	0.04259150374834632	0.02866382478318389	0.02300455681317066	0.021902102013817433	0.024070263119212114	0.02300455681317066	0.025944436278112597	0.013302954578862266	0.014405409378215493	0.01385418197853888	0.018153755696016464	0.007129207702484198	0.01264148169925033	0.010546817580479201	0.01378068499191533	0.007974423048655005	0.012127002792885491	0	0	0.007349698662354844	0	0	0.006467734822872262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00033073643980596794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187409	226_T12	226-T12_S267_L001_R1_001.fastq.gz	557b268394476a03ec7919ff7188f02ce7f3ccbbb3b7714808370324ed7ef95e	226-T12_S267_L001_R2_001.fastq.gz	2ca4987ab6762991d7adadcd1420bd5c27499691281affb39afd52b7f08fd32d	955	20240307T041644_cdube	1.3702092396933914	1.0856787711977272	0.019828938411909202	1.0855899849063304	0.019799342981443663	0.0	0.0	8.878629139660837e-05	2.959543046553612e-05	1.0	0.0007102903311728669	0	0	0.09174583444316198	0	0	0	0	0	0	coral	cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	cytherea	-17.48538420	-149.83559100	20210202	6	0.00014797715232768062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.533812779306875	0.11400159815324513	0.04699754357927136	0.029477048743673975	0.027819704637603953	0.023705939802894434	0.02290686318032496	0.026014383379206252	0.027464559472017522	0.012696439669714996	0.015093669537423422	0.013791470596939833	0.019858533842374737	0.007191689603125277	0.012814821391577141	0.0113054544378348	0.015182455828820031	0.005830299801710616	0.013643493444612152	0	0.005593536357986327	0.0077540027819704635	0	0	0.006510994702417947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00038474059605196956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187406	225_T0_	225-T0-b_S297_L001_R1_001.fastq.gz	b66a0c5d2da751ef603c8cb7dae64d4eccc35c4d554de137a0a7a7de617e112b	225-T0-b_S297_L001_R2_001.fastq.gz	1cdccddfee6ebd8ed118aed51fd242b820adaad4d5b6cb45dc941fa64b4f43a4	955	20240307T041644_cdube	1.3544905405819765	1.0847208168521756	0.020881243675834788	1.084506178517769	0.020819918437432926	0.0	0.0	0.000214638334406525	6.132523840186429e-05	1.0	0.0006745776224205072	0	0	0.09695520191334744	0	0	0	0	0	0	coral	cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	cytherea	-17.48538420	-149.83559100	20210202	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5361665593474995	0.11335970318584614	0.040842608775641616	0.029129488240885536	0.027994971330451045	0.02548063655597461	0.026584490847208167	0.02272100082789072	0.028914849906479013	0.011713120534756078	0.013951491736424125	0.014840707693251158	0.018520221997363015	0.006193849078588293	0.012234385061171926	0.011130530769938368	0.015944561984484715	0.008278907184251678	0.01431944316683531	0	0.006776438843406004	0.00714439027381719	0	0	0.007757642657835832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187403	224_T12	224-T12_S265_L001_R1_001.fastq.gz	838eb2a2d56a1b6b54d874bcb84659deef5564c5e2bce5403b3d2447b3e78b48	224-T12_S265_L001_R2_001.fastq.gz	ac9e5930d70bf1c1f367978dca868015b8b0f06dc2b6a8287c5580584852288a	955	20240307T041644_cdube	1.3916795599106069	1.0838576585869004	0.02172941378717552	1.0837545126353791	0.02169503180333505	0.0	0.0	0.00010314595152140278	3.438198384046759e-05	1.0	0.0009626955475330926	0.00027505587072374074	0	0.09375966993295513	0	0	0	0	0	0	coral	cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	cytherea	-17.48538420	-149.83559100	20210202	6	0.0036788722709300324	0	0	0	0	0	0	0	0.00027505587072374074	0.00013752793536187037	0	0	0	0	0.00020629190304280557	0	0	0	0	0	0	0	0	0	0	0	0	0.00013752793536187037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5321987278665979	0.10974729241877257	0.04507478081485302	0.029671652054323535	0.027402441120852675	0.024376826542891524	0.02417053463984872	0.02602716176723397	0.027333677153171736	0.011896166408801787	0.015540656695891353	0.014371669245315456	0.0211105380780471	0.00701392470345539	0.012033694344163659	0.011277290699673372	0.01557503867973182	0.007907856283307547	0.013133917827058621	0	0.005810555269039024	0.006773250816572116	0	0	0.006773250816572116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00034381983840467596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187418	242_T27	242-T27_S229_L001_R1_001.fastq.gz	7888266fd83ef35ead4f00abf320b4ab504f7c1d87bc500196c428f0d615a63b	242-T27_S229_L001_R2_001.fastq.gz	1fc445c812c5160c5175070a018ce0dd9fd2301daef361c7ce979f5c457273d1	955	20240307T041644_cdube	1.3699007233431926	1.0850733592994992	0.020587460098983806	1.0850733592994992	0.020587460098983806	0.0	0.0	0.0	0.0	1.0	0.0007028435880165169	0	0	0.10226374205640318	0	0	0	0	0	0	coral	cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	cytherea	-17.54999310	-149.88336240	20230418	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5345418338360617	0.11347995431516678	0.040149939965443526	0.0287873019591765	0.025360939467595982	0.025214513720092542	0.026122353354613874	0.022725276012534042	0.027762321726652415	0.011538348903271151	0.013969016311828272	0.015257562889858552	0.01967962046446247	0.006882010132661727	0.011772630099276657	0.00960552903622573	0.0166339649163909	0.008726974551205084	0.015345418338360617	0	0.007116291328667233	0.007848420066184438	0	0	0.00667701408615691	0	0	0	0.004480627873605295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003221366445075702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187410	226_T27	226-T27_S191_L001_R1_001.fastq.gz	786da897672f9443cbd253f8a4ab21d024414849f00ef4b2931c4877ee64a8d5	226-T27_S191_L001_R2_001.fastq.gz	d619c3494bcd5b4614617d32d91ac41314202ba63dd5c8b3354888627cd106ce	955	20240307T041644_cdube	1.3558799409545679	1.0828932261768083	0.021190749548958505	1.0828932261768083	0.021190749548958505	0.0	0.0	0.0	0.0	1.0	0.0007544694111858291	0	0	0.10080367393800228	0	0	0	0	0	0	coral	cnidaria	Hexacorallia	Scleractinia	Acroporidae	Acropora	cytherea	-17.48538420	-149.83559100	20230418	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5293751025094309	0.11182548794489093	0.04723634574380843	0.029030670821715596	0.02647203542725931	0.02401180908643595	0.025815975069706412	0.025783172051828767	0.025192717730031164	0.013055601115302608	0.0146629489913072	0.015614236509758898	0.01978021978021978	0.0068558307364277515	0.013252419222568475	0.011120223060521567	0.016139084795801215	0.007380679022470067	0.013252419222568475	0	0.006757421682794817	0.006757421682794817	0	0	0.006265376414630146	0	0	0	0.004362801377726751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
